tabella,colonna,tipo,nullable,default,n,nn,nd
ai_review_log,annullato_at,timestamp with time zone,YES,,51,0,0
ai_review_log,annullato_da,text,YES,,51,0,0
ai_review_log,attore,text,NO,,51,51,1
ai_review_log,azione,text,NO,,51,51,1
ai_review_log,categoria_a,text,NO,,51,51,16
ai_review_log,categoria_da,text,YES,,51,51,16
ai_review_log,created_at,timestamp with time zone,NO,now(),51,51,51
ai_review_log,descrizione,text,YES,,51,51,51
ai_review_log,id,bigint,NO,nextval('ai_review_log_id_seq'::regclass),51,51,51
ai_review_log,ids_fatture,ARRAY,NO,'{}'::bigint[],51,51,51
ai_review_log,nota,text,YES,,51,51,2
ai_review_log,righe_count,integer,NO,0,51,51,9
ai_usage_events,completion_tokens,integer,NO,0,554,554,135
ai_usage_events,created_at,timestamp with time zone,NO,now(),554,554,554
ai_usage_events,id,bigint,NO,nextval('ai_usage_events_id_seq'::regclass),554,554,554
ai_usage_events,input_cost,numeric,NO,0,554,554,213
ai_usage_events,item_count,integer,NO,1,554,554,21
ai_usage_events,metadata,jsonb,NO,'{}'::jsonb,554,554,26
ai_usage_events,model,text,NO,'gpt-4o-mini'::text,554,554,2
ai_usage_events,operation_type,text,NO,,554,554,2
ai_usage_events,output_cost,numeric,NO,0,554,554,142
ai_usage_events,prompt_tokens,integer,NO,0,554,554,280
ai_usage_events,ristorante_id,uuid,NO,,554,554,11
ai_usage_events,source_file,text,YES,,554,0,0
ai_usage_events,total_cost,numeric,NO,0,554,554,286
ai_usage_events,total_tokens,integer,NO,0,554,554,315
ai_usage_events,user_id,uuid,YES,,554,143,5
app_settings,key,text,NO,,1,1,1
app_settings,updated_at,timestamp with time zone,NO,now(),1,1,1
app_settings,updated_by,text,YES,,1,1,1
app_settings,value,jsonb,NO,,1,1,1
assistant_preferences,alert_prezzi_solo_preferiti,boolean,NO,false,3,3,2
assistant_preferences,chat_ai_enabled,boolean,NO,true,3,3,1
assistant_preferences,giorni_chiusura_settimanali,smallint,NO,0,3,3,1
assistant_preferences,nome_referente,text,YES,,3,2,2
assistant_preferences,ristorante_id,uuid,NO,,3,3,3
assistant_preferences,topics_disabled,jsonb,NO,'[]'::jsonb,3,3,2
assistant_preferences,updated_at,timestamp with time zone,NO,now(),3,3,3
brand_ambigui,aggiunto_automaticamente,boolean,NO,false,0,0,0
brand_ambigui,brand,text,NO,,0,0,0
brand_ambigui,categorie_viste,ARRAY,NO,'{}'::text[],0,0,0
brand_ambigui,id,bigint,NO,nextval('brand_ambigui_id_seq'::regclass),0,0,0
brand_ambigui,num_correzioni,integer,NO,0,0,0,0
brand_ambigui,prima_vista,timestamp with time zone,NO,now(),0,0,0
brand_ambigui,tasso_correzione,numeric,NO,0,0,0,0
brand_ambigui,ultima_modifica,timestamp with time zone,NO,now(),0,0,0
cache_version,key,text,NO,,3,3,3
cache_version,updated_at,timestamp with time zone,NO,now(),3,3,3
cache_version,version,bigint,NO,1,3,3,3
categorie,attiva,boolean,NO,true,31,31,1
categorie,created_at,timestamp with time zone,NO,now(),31,31,1
categorie,icona,text,NO,'📦'::text,31,31,31
categorie,id,bigint,NO,nextval('categorie_id_seq'::regclass),31,31,31
categorie,nome,text,NO,,31,31,31
categorie,ordinamento,integer,NO,999,31,31,31
categorie,updated_at,timestamp with time zone,NO,now(),31,31,1
category_change_log,actor_email,text,YES,,4135,0,0
category_change_log,actor_user_id,uuid,YES,,4135,0,0
category_change_log,batch_id,uuid,YES,,4135,0,0
category_change_log,changed_at,timestamp with time zone,NO,now(),4135,4135,1580
category_change_log,descrizione,text,YES,,4135,4135,1615
category_change_log,details,jsonb,NO,'{}'::jsonb,4135,4135,2
category_change_log,file_origine,text,YES,,4135,4022,1214
category_change_log,id,bigint,NO,nextval('category_change_log_id_seq'::regclass),4135,4135,4135
category_change_log,new_categoria,text,YES,,4135,4135,31
category_change_log,numero_riga,integer,YES,,4135,4022,144
category_change_log,old_categoria,text,YES,,4135,4135,31
category_change_log,ristorante_id,uuid,YES,,4135,4022,11
category_change_log,source,text,NO,'db_trigger'::text,4135,4135,1
category_change_log,table_name,text,NO,,4135,4135,2
category_change_log,target_id,text,YES,,4135,4135,3533
category_change_log,user_id,uuid,YES,,4135,4135,6
chat_usage_log,created_at,timestamp with time zone,YES,now(),78,78,78
chat_usage_log,id,uuid,NO,gen_random_uuid(),78,78,78
chat_usage_log,ristorante_id,uuid,YES,,78,77,6
chat_usage_log,user_id,uuid,YES,,78,78,4
classificazioni_manuali,categoria_corretta,text,NO,,4,4,1
classificazioni_manuali,created_at,timestamp without time zone,YES,now(),4,4,4
classificazioni_manuali,descrizione,text,NO,,4,4,4
classificazioni_manuali,id,integer,NO,nextval('classificazioni_manuali_id_seq'::regclass),4,4,4
classificazioni_manuali,is_dicitura,boolean,YES,false,4,4,1
classificazioni_manuali,user_id,uuid,YES,,4,0,0
classificazioni_manuali,validato_da,text,NO,,4,4,1
custom_tag_prodotti,created_at,timestamp with time zone,NO,now(),170,170,18
custom_tag_prodotti,descrizione,text,NO,,170,170,126
custom_tag_prodotti,descrizione_key,text,NO,,170,170,126
custom_tag_prodotti,fattore_kg,numeric,YES,,170,0,0
custom_tag_prodotti,id,bigint,NO,nextval('custom_tag_prodotti_id_seq'::regclass),170,170,170
custom_tag_prodotti,ristorante_id,uuid,NO,,170,170,4
custom_tag_prodotti,tag_id,bigint,NO,,170,170,15
custom_tag_prodotti,user_id,uuid,NO,,170,170,2
custom_tag_suggestion_items,created_at,timestamp with time zone,NO,now(),330,330,75
custom_tag_suggestion_items,descrizione,text,NO,,330,330,295
custom_tag_suggestion_items,descrizione_key,text,NO,,330,330,295
custom_tag_suggestion_items,fornitori_count,integer,NO,0,330,330,1
custom_tag_suggestion_items,id,bigint,NO,nextval('custom_tag_suggestion_items_id_seq'::regclass),330,330,330
custom_tag_suggestion_items,last_seen_date,date,YES,,330,330,55
custom_tag_suggestion_items,occorrenze,integer,NO,1,330,330,12
custom_tag_suggestion_items,ristorante_id,uuid,NO,,330,330,3
custom_tag_suggestion_items,selected_by_default,boolean,NO,true,330,330,1
custom_tag_suggestion_items,suggestion_id,bigint,NO,,330,330,62
custom_tag_suggestion_items,user_id,uuid,NO,,330,330,3
