numero_fattura,campo,valore_xml,valore_supabase,match
000260/T,fornitore,AZIENDA AGRICOLA CA' DEI FRATI DI DAL CERO PIETRO E FIGLI SOCIETA' AGRICOLA,AZIENDA AGRICOLA CA' DEI FRATI DI DAL CERO PIETRO E FIGLI SOCIETA' AGRICOLA,OK
000260/T,data,2026-01-09,2026-01-09,OK
000260/T,totale_imponibile,726.75,726.75,OK
000260/T,totale_iva,159.89,159.89,OK
000260/T,totale_documento,886.64,886.64,OK
000260/T,righe[1].descrizione,DDT n. 000260/T - 09/01/2026,,DIFF
000260/T,righe[1].quantita,,,DIFF
000260/T,righe[1].prezzo_unitario,0.00,,DIFF
000260/T,righe[1].importo,0.00,,DIFF
000260/T,righe[1].descrizione_in_prodotti_utente,DDT n. 000260/T - 09/01/2026,NO,DIFF
000260/T,righe[2].descrizione,Rif. Ordine 000241 del 08/01/2026,,DIFF
000260/T,righe[2].quantita,,,DIFF
000260/T,righe[2].prezzo_unitario,0.00,,DIFF
000260/T,righe[2].importo,0.00,,DIFF
000260/T,righe[2].descrizione_in_prodotti_utente,Rif. Ordine 000241 del 08/01/2026,NO,DIFF
000260/T,righe[3].descrizione,ROSA dei FRATI vino rosato 2024,ROSA DEI FRATI VINO ROSATO 2024,OK
000260/T,righe[3].quantita,6.00,6.00,OK
000260/T,righe[3].prezzo_unitario,7.50,7.50,OK
000260/T,righe[3].importo,0.00,45.00,DIFF
000260/T,righe[3].descrizione_in_prodotti_utente,ROSA dei FRATI vino rosato 2024,SI,OK
000260/T,righe[4].descrizione,ROSA dei FRATI vino rosato 2024,ROSA DEI FRATI VINO ROSATO 2024,OK
000260/T,righe[4].quantita,60.00,60.00,OK
000260/T,righe[4].prezzo_unitario,7.50,7.50,OK
000260/T,righe[4].importo,450.00,450.00,OK
000260/T,righe[4].descrizione_in_prodotti_utente,ROSA dei FRATI vino rosato 2024,SI,OK
000260/T,righe[5].descrizione,I FRATI Lugana DOC 2024 vino bianco,I FRATI LUGANA DOC 2024 VINO BIANCO,OK
000260/T,righe[5].quantita,42.00,42.00,OK
000260/T,righe[5].prezzo_unitario,7.50,7.50,OK
000260/T,righe[5].importo,315.00,315.00,OK
000260/T,righe[5].descrizione_in_prodotti_utente,I FRATI Lugana DOC 2024 vino bianco,SI,OK
000260/T,righe[6].descrizione,Sconti finali - 5.00%,SCONTI FINALI - 5.00%,OK
000260/T,righe[6].quantita,,1.00,DIFF
000260/T,righe[6].prezzo_unitario,-38.25,-38.25,OK
000260/T,righe[6].importo,-38.25,-38.25,OK
000260/T,righe[6].descrizione_in_prodotti_utente,Sconti finali - 5.00%,NO,DIFF
000260/T,righe[7].descrizione,Sconto merce di 45.00 escluso dalla base imponibile ai sensi dell'Art.15/2 DPR 633/72,,DIFF
000260/T,righe[7].quantita,,,DIFF
000260/T,righe[7].prezzo_unitario,0.00,,DIFF
000260/T,righe[7].importo,0.00,,DIFF
000260/T,righe[7].descrizione_in_prodotti_utente,Sconto merce di 45.00 escluso dalla base imponibile ai sensi dell'Art.15/2 DPR 633/72,NO,DIFF
000260/T,righe[8].descrizione,CONS 10-12,,DIFF
000260/T,righe[8].quantita,,,DIFF
000260/T,righe[8].prezzo_unitario,0.00,,DIFF
000260/T,righe[8].importo,0.00,,DIFF
000260/T,righe[8].descrizione_in_prodotti_utente,CONS 10-12,NO,DIFF
000260/T,righe[9].descrizione,Corrispettivo comprensivo del Contributo ambientale Conai già assolto,,DIFF
000260/T,righe[9].quantita,,,DIFF
000260/T,righe[9].prezzo_unitario,0.00,,DIFF
000260/T,righe[9].importo,0.00,,DIFF
000260/T,righe[9].descrizione_in_prodotti_utente,Corrispettivo comprensivo del Contributo ambientale Conai già assolto,NO,DIFF
9260076457,fornitore,S.I.A.E.,S.I.A.E,DIFF
9260076457,data,2026-01-13,2026-01-13,OK
9260076457,totale_imponibile,209.75,209.75,OK
